profession_de,profession_en,profession_uk,category,authority_name,authority_address,authority_phone,authority_email,authority_website,confidence,notes
Maschinenbauingenieur/in,Mechanical Engineer,інженер-механік,Reglementierter Titel,Regierung von Schwaben,"Fronhof 10, 86152 Augsburg",+49 821 327-01,poststelle@reg-schw.bayern.de,https://www.regierung.schwaben.bayern.de,high,"Same as Elektroingenieur — non-Bau engineering fields."
Fachinformatiker/in,IT Specialist,IT-спеціаліст,IHK-Beruf,IHK FOSA (Foreign Skills Approval),"Ulmenstr. 52g, 90443 Nürnberg",+49 911 81506-0,info@ihk-fosa.de,https://www.ihk-fosa.de,high,"IHK FOSA is the central body for ALL IHK-regulated foreign qualifications across Germany. Based in Nuremberg — nice pitch angle: the recognition authority for this profession is literally in the same city as the hackathon."
Koch/Köchin,Chef/Cook,кухар,IHK-Beruf,IHK FOSA (Foreign Skills Approval),"Ulmenstr. 52g, 90443 Nürnberg",+49 911 81506-0,info@ihk-fosa.de,https://www.ihk-fosa.de,high,"Same IHK FOSA — hospitality/gastronomy occupations."
Kaufmann/Kauffrau im Einzelhandel,Retail Salesperson,продавець,IHK-Beruf,IHK FOSA (Foreign Skills Approval),"Ulmenstr. 52g, 90443 Nürnberg",+49 911 81506-0,info@ihk-fosa.de,https://www.ihk-fosa.de,high,"Same IHK FOSA — commercial occupations."
Elektroniker/in,Electrician,електрик,Handwerksberuf,Handwerkskammer für Mittelfranken,"Sulzbacher Straße 11-15, 90489 Nürnberg",+49 911 5309-0,info@hwk-mittelfranken.de,https://www.hwk-mittelfranken.de,high,"HWK-Mfr address verified. Mon-Thu 07:30-17:00, Fri 07:30-14:30."
Anlagenmechaniker/in SHK (Klempner),Plumber (Heating/Sanitary),сантехнік,Handwerksberuf,Handwerkskammer für Mittelfranken,"Sulzbacher Straße 11-15, 90489 Nürnberg",+49 911 5309-0,info@hwk-mittelfranken.de,https://www.hwk-mittelfranken.de,high,"HWK-Mfr address verified."
Kfz-Mechatroniker/in,Car Mechanic,автомеханік,Handwerksberuf,Handwerkskammer für Mittelfranken,"Sulzbacher Straße 11-15, 90489 Nürnberg",+49 911 5309-0,info@hwk-mittelfranken.de,https://www.hwk-mittelfranken.de,high,"HWK-Mfr address verified."
Friseur/in,Hairdresser,перукар,Handwerksberuf,Handwerkskammer für Mittelfranken,"Sulzbacher Straße 11-15, 90489 Nürnberg",+49 911 5309-0,info@hwk-mittelfranken.de,https://www.hwk-mittelfranken.de,high,"HWK-Mfr address verified."
Metallbauer/in (Schweisser),Metalworker/Welder,зварювальник,Handwerksberuf,Handwerkskammer für Mittelfranken,"Sulzbacher Straße 11-15, 90489 Nürnberg",+49 911 5309-0,info@hwk-mittelfranken.de,https://www.hwk-mittelfranken.de,high,"HWK-Mfr address verified. Note: purely industrial welders (not Handwerk apprenticeship) may route through IHK FOSA instead."
Lehrer/in (Drittstaat),Teacher (third-country qual.),вчитель,Reglementierter Beruf,Bayerisches Staatsministerium für Unterricht und Kultus (StMUK),"Salvatorstr. 2, 80333 München",+49 89 2186-0,poststelle@stmuk.bayern.de,https://www.km.bayern.de,medium,"Formal Lehramtsanerkennung for third-country teachers is generally NOT possible in Bayern. Ukrainian teachers often can only work as substitutes. This is a real recognition dead-end and clerk should say so honestly."
Zeugnisanerkennung (Schulabschluss),School-leaving certificate,визнання шкільного атестата,Zeugnisanerkennung,Bayerisches Landesamt für Schule - Zeugnisanerkennungsstelle,"Stuttgarter Str. 1, 91710 Gunzenhausen",+49 9831 5166-444,zast@las.bayern.de,https://www.las.bayern.de/zeugnisanerkennung/,high,"For general school certificates (Abitur, Mittlere Reife etc.). Precedes many professional recognition processes."
Erzieher/in,Kindergarten Teacher,вихователь,Reglementierter Beruf,Regierung von Mittelfranken,"Promenade 27, 91522 Ansbach",+49 981 53-0,poststelle@reg-mfr.bayern.de,https://www.regierung.mittelfranken.bayern.de,medium,"Erzieher in Bayern is regulated. Common Ukrainian refugee retraining path — women who were teachers back home often retrain here. VERIFY exact routing tomorrow — may go through ZBFS instead."
LKW-Fahrer/in,Truck Driver,водій вантажівки,Nicht reglementiert (Führerschein),Bundesagentur für Arbeit / Führerscheinstelle Nürnberg,"Rathausplatz 2, 90403 Nürnberg",+49 911 231-0,,https://www.nuernberg.de,low,"Not a regulated profession under BQFG. Recognition is via Führerschein-Umschreibung at the local Fahrerlaubnisbehörde. Ukrainian licence holders have simplified conversion rules."
Fallback / Unbekannt,Fallback / Unknown,невідома професія,Beratung,Koordinierungs- und Beratungsstelle Berufsanerkennung (KuBB),"Regierung von Mittelfranken, Promenade 27, 91522 Ansbach",+49 911 2352-212,,https://www.berufsanerkennung.bayern.de,high,"KuBB is the bayernweit coordination hotline for ANY recognition question. Use as fallback when profession is unclear. Hotline: Mon-Fri 10:00-12:00 + Mon/Tue/Thu 13:00-15:00. Also offers advice in Ukrainian and other refugee languages via partner network."
